Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle;;;;
55N 12E;8939;LILLGRUND;2;Y;553032;55,50888889;124642;12,77833333;377;377;F R;Wind turbine;;;;
55N 12E;8940;LILLGRUND;2;Y;553022;55,50611111;124628;12,77444444;377;377;F R;Wind turbine;;;;
55N 12E;8941;LILLGRUND;2;Y;553012;55,50333333;124613;12,77027778;377;377;F R;Wind turbine;;;;
55N 12E;8942;LILLGRUND;2;Y;553002;55,50055556;124558;12,76611111;377;377;F R;Wind turbine;;;;
55N 12E;8943;LILLGRUND;2;Y;553116;55,52111111;124725;12,79027778;377;377;F R;Wind turbine;;;;
55N 12E;8944;LILLGRUND;2;Y;553106;55,51833333;124711;12,78638889;377;377;F R;Wind turbine;;;;
55N 12E;8945;LILLGRUND;2;Y;553056;55,51555556;124657;12,7825;377;377;F R;Wind turbine;;;;
55N 12E;8946;LILLGRUND;2;Y;553046;55,51277778;124642;12,77833333;377;377;F R;Wind turbine;;;;
55N 12E;8947;LILLGRUND;2;Y;553026;55,50722222;124612;12,77;377;377;F R;Wind turbine;;;;
55N 12E;8948;LILLGRUND;2;Y;553016;55,50444444;124558;12,76611111;377;377;F R;Wind turbine;;;;
55N 12E;8949;LILLGRUND;2;Y;553006;55,50166667;124543;12,76194444;377;377;FLG R;Wind turbine;;;;
55N 12E;8950;LILLGRUND;2;Y;553120;55,52222222;124709;12,78583333;377;377;FLG R;Wind turbine;;;;
55N 12E;8951;LILLGRUND;2;Y;553111;55,51972222;124655;12,78194444;377;377;F R;Wind turbine;;;;
55N 12E;8952;LILLGRUND;2;Y;553101;55,51694444;124641;12,77805556;377;377;F R;Wind turbine;;;;
55N 12E;8953;LILLGRUND;2;Y;553051;55,51416667;124626;12,77388889;377;377;F R;Wind turbine;;;;
55N 12E;8954;LILLGRUND;2;Y;553021;55,50583333;124542;12,76166667;377;377;F R;Wind turbine;;;;
55N 12E;8955;LILLGRUND;2;Y;553105;55,51805556;124625;12,77361111;377;377;F R;Wind turbine;;;;
55N 12E;8956;LILLGRUND;2;Y;553055;55,51527778;124611;12,76972222;377;377;F R;Wind turbine;;;;
55N 12E;8957;LILLGRUND;2;Y;553045;55,5125;124556;12,76555556;377;377;F R;Wind turbine;;;;
55N 12E;8958;LILLGRUND;2;Y;553036;55,51;124541;12,76138889;377;377;F R;Wind turbine;;;;
55N 12E;8959;LILLGRUND;2;Y;553120;55,52222222;124624;12,77333333;377;377;F R;Wind turbine;;;;
55N 12E;8960;LILLGRUND;2;Y;553110;55,51944444;124610;12,76944444;377;377;F R;Wind turbine;;;;
55N 12E;8961;LILLGRUND;2;Y;553100;55,51666667;124555;12,76527778;377;377;F R;Wind turbine;;;;
55N 12E;8962;LILLGRUND;2;Y;553050;55,51388889;124541;12,76138889;377;377;F R;Wind turbine;;;;
55N 12E;8963;LILLGRUND;2;Y;553125;55,52361111;124609;12,76916667;377;377;FLG R;Wind turbine;;;;
55N 12E;8964;LILLGRUND;2;Y;553105;55,51805556;124540;12,76111111;377;377;FLG R;Wind turbine;;;;
55N 12E;8965;LILLGRUND;2;Y;553115;55,52083333;124554;12,765;377;377;F R;Wind turbine;;;;
55N 12E;8967;LILLGRUND;2;Y;553031;55,50861111;124557;12,76583333;377;377;F R;Wind turbine;;;;
55N 12E;8968;LILLGRUND;2;Y;553115;55,52083333;124640;12,77777778;377;377;FLG R;Wind turbine;;;;
55N 12E;9073;LANDSKRONA;;Y;555141;55,86138889;125231;12,87527778;410;417;F R;Wind turbine;;;;
55N 12E;9074;LANDSKRONA;;Y;555128;55,85777778;125137;12,86027778;410;423;F R;Wind turbine;;;;
55N 12E;9301;OTTARP;;Y;555708;55,95222222;125726;12,95722222;328;554;F R;Wind turbine;;;;
55N 12E;10892;LANDSKRONA;;Y;555232;55,87555556;125349;12,89694444;410;466;FLG R;Wind turbine;;;;
55N 12E;10893;LANDSKRONA;;Y;555236;55,87666667;125414;12,90388889;410;456;FLG R;Wind turbine;;;;
55N 12E;10894;LANDSKRONA;;Y;555241;55,87805556;125439;12,91083333;410;456;FLG R;Wind turbine;;;;
55N 13E;9;H…RBY 1;;Y;554822,2;55,80616667;134315,7;13,72102778;1060;1586;F R/FLG W;Pylon;;;;
55N 13E;10;H…RR…D;;Y;554715,4;55,78761111;135845,9;13,97941667;358;946;F R;Mast;;;;
55N 13E;12;TRELLEBORG;;Y;552321,6;55,38933333;131146,9;13,19636111;328;420;F R;Mast;;;;
55N 13E;13;B…SARP;;Y;552442,4;55,41177778;131730;13,29166667;361;498;F R/FLG W;Mast;;;;
55N 13E;685;SVEDALA;;Y;552842;55,47833333;131613,3;13,27036111;354;615;F R;Mast;;;;
55N 13E;753;MAGLARP;;Y;552323,4;55,38983333;130347,6;13,06322222;394;432;F R/FLG W;Pylon;;;;
55N 13E;945;MALM… J€GERSRO;;Y;553424,3;55,57341667;130324,1;13,05669444;351;407;F R;Tower;;;;
55N 13E;1080;MALM…/HELENEHOLMSVERKET;;Y;553440;55,57777778;130044;13,01222222;427;469;F R;Chimney;;;;
55N 13E;1462;MALM…/ …RESUNDSVERKET;;Y;553732;55,62555556;130220;13,03888889;328;338;-;Chimney;;;;
