Area;Number;Designation;GroupID;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;Height (ft);Elevation (ft);Lighting;Type of obstacle
55N 12E;3654;ÖRESUNDSBRON;;Y;553429;55,5747222222;124951;12,8308333333;669;669;F R/FLG W;Bridge pylon, 60 per minute
55N 12E;3960;ÖRESUNDSBRON;;Y;553432;55,5755555556;124923;12,8230555556;669;669;F R/FLG W;Bridge pylon, 60 per minute
55N 12E;4847;BARSEBÄCK;;Y;554444,6;55,7457222222;125548,4;12,9301111111;328;336;F R;Mast
55N 12E;4848;BARSEBÄCK/MALMÖ;;Y;554441,1;55,74475;125512,6;12,9201666667;361;361;F R;Chimney
55N 12E;5245;KLÖSINGE;;Y;555428;55,9077777778;125905;12,9847222222;335;499;F R;Wind turbine
55N 12E;5246;KLÖSINGE;;Y;555429;55,9080555556;125924;12,99;335;499;F R;Wind turbine
55N 12E;5247;KLÖSINGE;;Y;555440;55,9111111111;125910;12,9861111111;335;499;F R;Wind turbine
55N 12E;5248;KLÖSINGE;;Y;555440;55,9111111111;125929;12,9913888889;335;499;F R;Wind turbine
55N 12E;5249;KLÖSINGE;;Y;555452;55,9144444444;125915;12,9875;335;499;F R;Wind turbine
55N 12E;5250;KLÖSINGE;;Y;555452;55,9144444444;125934;12,9927777778;335;502;F R;Wind turbine
55N 12E;5389;LUNDÅKRA;;Y;555143;55,8619444444;125204;12,8677777778;394;394;F R;Wind turbine
55N 12E;5390;LUNDÅKRA;;Y;555131;55,8586111111;125155;12,8652777778;394;394;F R;Wind turbine
55N 12E;6434;V. HAMNEN MALMÖ;;Y;553648;55,6133333333;125835;12,9763888889;623;636;F R;Building
55N 12E;8895;LILLGRUND;2;Y;553102;55,5172222222;124812;12,8033333333;377;377;FLG R;Wind turbine
55N 12E;8896;LILLGRUND;2;Y;553042;55,5116666667;124743;12,7952777778;377;377;FLG R;Wind turbine
55N 12E;8897;LILLGRUND;2;Y;553032;55,5088888889;124728;12,7911111111;377;377;F R;Wind turbine
55N 12E;8898;LILLGRUND;2;Y;553022;55,5061111111;124713;12,7869444444;377;377;FLG R;Wind turbine
55N 12E;8899;LILLGRUND;2;Y;553012;55,5033333333;124659;12,7830555556;377;377;F R;Wind turbine
55N 12E;8900;LILLGRUND;2;Y;553002;55,5005555556;124644;12,7788888889;377;377;F R;Wind turbine
55N 12E;8901;LILLGRUND;2;Y;553107;55,5186111111;124756;12,7988888889;377;377;F R;Wind turbine
55N 12E;8902;LILLGRUND;2;Y;553047;55,5130555556;124727;12,7908333333;377;377;F R;Wind turbine
55N 12E;8903;LILLGRUND;2;Y;553037;55,5102777778;124712;12,7866666667;377;377;F R;Wind turbine
55N 12E;8904;LILLGRUND;2;Y;553017;55,5047222222;124643;12,7786111111;377;377;F R;Wind turbine
55N 12E;8905;LILLGRUND;2;Y;553007;55,5019444444;124629;12,7747222222;377;377;F R;Wind turbine
55N 12E;8906;LILLGRUND;2;Y;552957;55,4991666667;124614;12,7705555556;377;377;FLG R;Wind turbine
55N 12E;8907;LILLGRUND;2;Y;553111;55,5197222222;124741;12,7947222222;377;377;FLG R;Wind turbine
55N 12E;8908;LILLGRUND;2;Y;553101;55,5169444444;124726;12,7905555556;377;377;F R;Wind turbine
55N 12E;8909;LILLGRUND;2;Y;553051;55,5141666667;124712;12,7866666667;377;377;F R;Wind turbine
55N 12E;8910;LILLGRUND;2;Y;553052;55,5144444444;124757;12,7991666667;377;377;F R;Wind turbine
55N 12E;8936;LILLGRUND;2;Y;553057;55,5158333333;124742;12,795;377;377;F R;Wind turbine
55N 12E;8937;LILLGRUND;2;Y;553027;55,5075;124658;12,7827777778;377;377;F R;Wind turbine
55N 12E;8938;LILLGRUND;2;Y;553042;55,5116666667;124657;12,7825;377;377;F R;Wind turbine
55N 12E;8939;LILLGRUND;2;Y;553032;55,5088888889;124642;12,7783333333;377;377;F R;Wind turbine
55N 12E;8940;LILLGRUND;2;Y;553022;55,5061111111;124628;12,7744444444;377;377;F R;Wind turbine
55N 12E;8941;LILLGRUND;2;Y;553012;55,5033333333;124613;12,7702777778;377;377;F R;Wind turbine
55N 12E;8942;LILLGRUND;2;Y;553002;55,5005555556;124558;12,7661111111;377;377;F R;Wind turbine
55N 12E;8943;LILLGRUND;2;Y;553116;55,5211111111;124725;12,7902777778;377;377;F R;Wind turbine
55N 12E;8944;LILLGRUND;2;Y;553106;55,5183333333;124711;12,7863888889;377;377;F R;Wind turbine
55N 12E;8945;LILLGRUND;2;Y;553056;55,5155555556;124657;12,7825;377;377;F R;Wind turbine
55N 12E;8946;LILLGRUND;2;Y;553046;55,5127777778;124642;12,7783333333;377;377;F R;Wind turbine
55N 12E;8947;LILLGRUND;2;Y;553026;55,5072222222;124612;12,77;377;377;F R;Wind turbine
55N 12E;8948;LILLGRUND;2;Y;553016;55,5044444444;124558;12,7661111111;377;377;F R;Wind turbine
55N 12E;8949;LILLGRUND;2;Y;553006;55,5016666667;124543;12,7619444444;377;377;FLG R;Wind turbine
55N 12E;8950;LILLGRUND;2;Y;553120;55,5222222222;124709;12,7858333333;377;377;FLG R;Wind turbine
55N 12E;8951;LILLGRUND;2;Y;553111;55,5197222222;124655;12,7819444444;377;377;F R;Wind turbine
55N 12E;8952;LILLGRUND;2;Y;553101;55,5169444444;124641;12,7780555556;377;377;F R;Wind turbine
55N 12E;8953;LILLGRUND;2;Y;553051;55,5141666667;124626;12,7738888889;377;377;F R;Wind turbine
