Name code designator;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;FRA relevance;Remark/Usage
TESPO;Y;562016;56,33777778;171343;17,22861111;;
TESVI;Y;563419;56,57194444;163357,9;16,56608333;;
TEVKO;Y;651118,6;65,1885;173743,1;17,62863889;;
TIGBA;Y;625614;62,93722222;120731;12,12527778;(X);
TILSA;Y;564618,1;56,77169444;155218,6;15,87183333;;
TIMEX;Y;564526,3;56,75730556;143919,7;14,65547222;;
TINDO;Y;633726,2;63,62394444;191849,5;19,31375;;
TINKA;Y;591218,7;59,20519444;161747;16,29638889;;
TIPEL;Y;671543;67,26194444;161948;16,33;(E);
TIPIX;Y;585416,9;58,90469444;163127,1;16,52419444;;
TISAB;Y;580844,4;58,14566667;114300,5;11,71680556;;
TIXOR;Y;652013;65,33694444;151301;15,21694444;;
TOGMI;Y;614543;61,76194444;193225;19,54027778;(EX);
TOKSI;Y;570920,1;57,15558333;135439,7;13,91102778;(AD);(A): EKCH, EKRK, ESMT, ESTA
TOMBA;Y;651735,4;65,29316667;221608,6;22,26905556;;
TOMBU;Y;591346;59,22944444;193404,2;19,56783333;(AD);ESSA
TOMVI;Y;573334,5;57,55958333;115048,6;11,84683333;;
TONSA;Y;583632,9;58,60913889;163112,9;16,52025;;
TOPLA;Y;570809,1;57,13586111;122020,2;12,33894444;(AD);(A): EKCH, EKRK, ESMS
TORVA;Y;592444,8;59,41244444;161243,1;16,21197222;;
TUDGI;Y;640849;64,14694444;184044;18,67888889;;
TUMGU;Y;595328;59,89111111;120112;12,02;(E);
TURAS;Y;644014,4;64,67066667;203510;20,58611111;;
TUSNI;Y;591946;59,32944444;164903;16,8175;;Re-routing point
TUVIX;Y;572900,8;57,48355556;181306,9;18,21858333;;
TUVLU;Y;674126;67,69055556;232943;23,49527778;(EX);
ULGOT;Y;644143,9;64,69552778;203001,6;20,50044444;;
ULTEX;Y;630000,1;63,00002778;152610,3;15,43619444;;
UMIXA;Y;570924;57,15666667;134302;13,71722222;(D);ESCF, ESKN, ESSL, ESSP
UMLAX;Y;610000;61;170410,9;17,06969444;;
UMSAK;Y;612528;61,42444444;142301;14,38361111;;
